day,task_seq,item_type,league_code,league_name,api_league_id,start_year,estimated_calls,notes
1,1,rosters,ALL,All-Leagues Rosters,0,2025,814,players/squads per distinct team in scope
1,2,league_season,B1,Belgium_Jupiler_League,0,2025,573,fixtures=1 events=540 players=32
1,3,league_season,D1,Germany_Bundesliga_1,0,2025,577,fixtures=1 events=540 players=36
1,4,league_season,D2,Germany_Bundesliga_2,0,2025,577,fixtures=1 events=540 players=36
1,5,league_season,E0,England_Premier_League,0,2025,705,fixtures=1 events=664 players=40
1,6,league_season_part_1,E1,England_Championship,0,2025,1000,fixtures=1 events=1056 players=48 | chunk=1
1,7,league_season_part_2,E1,England_Championship,0,2025,105,fixtures=1 events=1056 players=48 | chunk=2
1,8,league_season_part_1,E2,England_League_1,0,2025,1000,fixtures=1 events=1050 players=48 | chunk=1
1,9,league_season_part_2,E2,England_League_1,0,2025,99,fixtures=1 events=1050 players=48 | chunk=2
1,10,league_season_part_1,E3,England_League_2,0,2025,1000,fixtures=1 events=1058 players=48 | chunk=1
1,11,league_season_part_2,E3,England_League_2,0,2025,107,fixtures=1 events=1058 players=48 | chunk=2
1,12,league_season_part_1,EC,England_Conference,0,2025,1000,fixtures=1 events=1080 players=48 | chunk=1
1,13,league_season_part_2,EC,England_Conference,0,2025,129,fixtures=1 events=1080 players=48 | chunk=2
1,14,league_season,F1,France_Le_Championnat,0,2025,573,fixtures=1 events=536 players=36
1,15,league_season,F2,France_Division_2,0,2025,593,fixtures=1 events=556 players=36
1,16,league_season,G1,Greece_Ethniki_Katigoria,0,2025,433,fixtures=1 events=404 players=28
1,17,league_season,I1,Italy_Serie_A,0,2025,701,fixtures=1 events=660 players=40
1,18,league_season,I2,Italy_Serie_B,0,2025,741,fixtures=1 events=700 players=40
1,19,league_season,N1,Netherlands_Eredivisie,0,2025,583,fixtures=1 events=546 players=36
1,20,league_season,P1,Portugal_Liga_I,0,2025,575,fixtures=1 events=538 players=36
1,21,league_season,SC0,Scotland_Premier_League,0,2025,421,fixtures=1 events=396 players=24
1,22,league_season,SC1,Scotland_Division_1,0,2025,361,fixtures=1 events=340 players=20
1,23,league_season,SC2,Scotland_Division_2,0,2025,361,fixtures=1 events=340 players=20
1,24,league_season,SC3,Scotland_Division_3,0,2025,361,fixtures=1 events=340 players=20
1,25,league_season,SP1,Spain_La_Liga,0,2025,681,fixtures=1 events=640 players=40
1,26,league_season,SP2,Spain_La_Liga_2,0,2025,837,fixtures=1 events=792 players=44
1,27,league_season,T1,Turkey_Ligi_1,0,2025,577,fixtures=1 events=540 players=36
1,28,league_season,B1,Belgium_Jupiler_League,0,2024,657,fixtures=1 events=624 players=32
1,29,league_season,D1,Germany_Bundesliga_1,0,2024,649,fixtures=1 events=612 players=36
1,30,league_season,D2,Germany_Bundesliga_2,0,2024,649,fixtures=1 events=612 players=36
1,31,league_season,E0,England_Premier_League,0,2024,801,fixtures=1 events=760 players=40
1,32,league_season_part_1,E1,England_Championship,0,2024,1000,fixtures=1 events=1104 players=48 | chunk=1
1,33,league_season_part_2,E1,England_Championship,0,2024,153,fixtures=1 events=1104 players=48 | chunk=2
