day,task_seq,item_type,league_code,league_name,api_league_id,start_year,estimated_calls,notes
1,103,league_season,SP2,Spain_La_Liga_2,0,2022,925,fixtures=1 events=924 players=0
1,104,league_season,T1,Turkey_Ligi_1,0,2022,685,fixtures=1 events=684 players=0
1,105,league_season,B1,Belgium_Jupiler_League,0,2021,613,fixtures=1 events=612 players=0
1,106,league_season,D1,Germany_Bundesliga_1,0,2021,613,fixtures=1 events=612 players=0
1,107,league_season,D2,Germany_Bundesliga_2,0,2021,613,fixtures=1 events=612 players=0
1,108,league_season,E0,England_Premier_League,0,2021,761,fixtures=1 events=760 players=0
1,109,league_season_part_1,E1,England_Championship,0,2021,1000,fixtures=1 events=1104 players=0 | chunk=1
1,110,league_season_part_2,E1,England_Championship,0,2021,105,fixtures=1 events=1104 players=0 | chunk=2
1,111,league_season_part_1,E2,England_League_1,0,2021,1000,fixtures=1 events=1104 players=0 | chunk=1
1,112,league_season_part_2,E2,England_League_1,0,2021,105,fixtures=1 events=1104 players=0 | chunk=2
1,113,league_season_part_1,E3,England_League_2,0,2021,1000,fixtures=1 events=1104 players=0 | chunk=1
1,114,league_season_part_2,E3,England_League_2,0,2021,105,fixtures=1 events=1104 players=0 | chunk=2
1,115,league_season_part_1,EC,England_Conference,0,2021,1000,fixtures=1 events=1012 players=0 | chunk=1
1,116,league_season_part_2,EC,England_Conference,0,2021,13,fixtures=1 events=1012 players=0 | chunk=2
1,117,league_season,F1,France_Le_Championnat,0,2021,761,fixtures=1 events=760 players=0
1,118,league_season,F2,France_Division_2,0,2021,761,fixtures=1 events=760 players=0
1,119,league_season,G1,Greece_Ethniki_Katigoria,0,2021,481,fixtures=1 events=480 players=0
1,120,league_season,I1,Italy_Serie_A,0,2021,761,fixtures=1 events=760 players=0
1,121,league_season,I2,Italy_Serie_B,0,2021,761,fixtures=1 events=760 players=0
1,122,league_season,N1,Netherlands_Eredivisie,0,2021,613,fixtures=1 events=612 players=0
1,123,league_season,P1,Portugal_Liga_I,0,2021,613,fixtures=1 events=612 players=0
1,124,league_season,SC0,Scotland_Premier_League,0,2021,457,fixtures=1 events=456 players=0
1,125,league_season,SC1,Scotland_Division_1,0,2021,361,fixtures=1 events=360 players=0
1,126,league_season,SC2,Scotland_Division_2,0,2021,361,fixtures=1 events=360 players=0
1,127,league_season,SC3,Scotland_Division_3,0,2021,361,fixtures=1 events=360 players=0
1,128,league_season,SP1,Spain_La_Liga,0,2021,761,fixtures=1 events=760 players=0
2,129,league_season,SP2,Spain_La_Liga_2,0,2021,925,fixtures=1 events=924 players=0
2,130,league_season,T1,Turkey_Ligi_1,0,2021,761,fixtures=1 events=760 players=0
2,131,league_season,B1,Belgium_Jupiler_League,0,2020,613,fixtures=1 events=612 players=0
2,132,league_season,D1,Germany_Bundesliga_1,0,2020,613,fixtures=1 events=612 players=0
2,133,league_season,D2,Germany_Bundesliga_2,0,2020,613,fixtures=1 events=612 players=0
2,134,league_season,E0,England_Premier_League,0,2020,893,fixtures=1 events=892 players=0
2,135,league_season_part_1,E1,England_Championship,0,2020,1000,fixtures=1 events=1258 players=0 | chunk=1
2,136,league_season_part_2,E1,England_Championship,0,2020,259,fixtures=1 events=1258 players=0 | chunk=2
2,137,league_season_part_1,E2,England_League_1,0,2020,1000,fixtures=1 events=1104 players=0 | chunk=1
2,138,league_season_part_2,E2,England_League_1,0,2020,105,fixtures=1 events=1104 players=0 | chunk=2
2,139,league_season_part_1,E3,England_League_2,0,2020,1000,fixtures=1 events=1104 players=0 | chunk=1
2,140,league_season_part_2,E3,England_League_2,0,2020,105,fixtures=1 events=1104 players=0 | chunk=2
2,141,league_season,EC,England_Conference,0,2020,955,fixtures=1 events=954 players=0
2,142,league_season,F1,France_Le_Championnat,0,2020,761,fixtures=1 events=760 players=0
2,143,league_season,F2,France_Division_2,0,2020,761,fixtures=1 events=760 players=0
2,144,league_season,G1,Greece_Ethniki_Katigoria,0,2020,541,fixtures=1 events=540 players=0
2,145,league_season,I1,Italy_Serie_A,0,2020,957,fixtures=1 events=956 players=0
2,146,league_season,I2,Italy_Serie_B,0,2020,901,fixtures=1 events=900 players=0
2,147,league_season,N1,Netherlands_Eredivisie,0,2020,613,fixtures=1 events=612 players=0
2,148,league_season,P1,Portugal_Liga_I,0,2020,707,fixtures=1 events=706 players=0
2,149,league_season,SC0,Scotland_Premier_League,0,2020,457,fixtures=1 events=456 players=0
2,150,league_season,SC1,Scotland_Division_1,0,2020,271,fixtures=1 events=270 players=0
2,151,league_season,SC2,Scotland_Division_2,0,2020,221,fixtures=1 events=220 players=0
2,152,league_season,SC3,Scotland_Division_3,0,2020,221,fixtures=1 events=220 players=0
2,153,league_season,SP1,Spain_La_Liga,0,2020,875,fixtures=1 events=874 players=0
2,154,league_season_part_1,SP2,Spain_La_Liga_2,0,2020,1000,fixtures=1 events=1052 players=0 | chunk=1
2,155,league_season_part_2,SP2,Spain_La_Liga_2,0,2020,53,fixtures=1 events=1052 players=0 | chunk=2
2,156,league_season,T1,Turkey_Ligi_1,0,2020,931,fixtures=1 events=930 players=0
2,157,league_season,B1,Belgium_Jupiler_League,0,2019,465,fixtures=1 events=464 players=0
2,158,league_season,D1,Germany_Bundesliga_1,0,2019,613,fixtures=1 events=612 players=0
2,159,league_season,D2,Germany_Bundesliga_2,0,2019,613,fixtures=1 events=612 players=0
2,160,league_season,E0,England_Premier_League,0,2019,629,fixtures=1 events=628 players=0
2,161,league_season,E1,England_Championship,0,2019,951,fixtures=1 events=950 players=0
2,162,league_season,E2,England_League_1,0,2019,801,fixtures=1 events=800 players=0
2,163,league_season,E3,England_League_2,0,2019,881,fixtures=1 events=880 players=0
2,164,league_season,EC,England_Conference,0,2019,903,fixtures=1 events=902 players=0
2,165,league_season,F1,France_Le_Championnat,0,2019,559,fixtures=1 events=558 players=0
2,166,league_season,F2,France_Division_2,0,2019,561,fixtures=1 events=560 players=0
2,167,league_season,G1,Greece_Ethniki_Katigoria,0,2019,421,fixtures=1 events=420 players=0
2,168,league_season,I1,Italy_Serie_A,0,2019,565,fixtures=1 events=564 players=0
2,169,league_season,I2,Italy_Serie_B,0,2019,621,fixtures=1 events=620 players=0
2,170,league_season,N1,Netherlands_Eredivisie,0,2019,465,fixtures=1 events=464 players=0
2,171,league_season,P1,Portugal_Liga_I,0,2019,519,fixtures=1 events=518 players=0
2,172,league_season,SC0,Scotland_Premier_League,0,2019,359,fixtures=1 events=358 players=0
2,173,league_season,SC1,Scotland_Division_1,0,2019,275,fixtures=1 events=274 players=0
2,174,league_season,SC2,Scotland_Division_2,0,2019,279,fixtures=1 events=278 players=0
2,175,league_season,SC3,Scotland_Division_3,0,2019,275,fixtures=1 events=274 players=0
2,176,league_season,SP1,Spain_La_Liga,0,2019,647,fixtures=1 events=646 players=0
2,177,league_season,SP2,Spain_La_Liga_2,0,2019,797,fixtures=1 events=796 players=0
2,178,league_season,T1,Turkey_Ligi_1,0,2019,523,fixtures=1 events=522 players=0
2,179,league_season,B1,Belgium_Jupiler_League,0,2018,481,fixtures=1 events=480 players=0
2,180,league_season,D1,Germany_Bundesliga_1,0,2018,613,fixtures=1 events=612 players=0
2,181,league_season,D2,Germany_Bundesliga_2,0,2018,613,fixtures=1 events=612 players=0
2,182,league_season,E0,England_Premier_League,0,2018,761,fixtures=1 events=760 players=0
2,183,league_season_part_1,E1,England_Championship,0,2018,1000,fixtures=1 events=1104 players=0 | chunk=1
2,184,league_season_part_2,E1,England_Championship,0,2018,105,fixtures=1 events=1104 players=0 | chunk=2
2,185,league_season_part_1,E2,England_League_1,0,2018,1000,fixtures=1 events=1104 players=0 | chunk=1
2,186,league_season_part_2,E2,England_League_1,0,2018,105,fixtures=1 events=1104 players=0 | chunk=2
2,187,league_season_part_1,E3,England_League_2,0,2018,1000,fixtures=1 events=1104 players=0 | chunk=1
2,188,league_season_part_2,E3,England_League_2,0,2018,105,fixtures=1 events=1104 players=0 | chunk=2
2,189,league_season_part_1,EC,England_Conference,0,2018,1000,fixtures=1 events=1104 players=0 | chunk=1
2,190,league_season_part_2,EC,England_Conference,0,2018,105,fixtures=1 events=1104 players=0 | chunk=2
2,191,league_season,F1,France_Le_Championnat,0,2018,761,fixtures=1 events=760 players=0
2,192,league_season,F2,France_Division_2,0,2018,761,fixtures=1 events=760 players=0
2,193,league_season,G1,Greece_Ethniki_Katigoria,0,2018,481,fixtures=1 events=480 players=0
2,194,league_season,I1,Italy_Serie_A,0,2018,761,fixtures=1 events=760 players=0
2,195,league_season,I2,Italy_Serie_B,0,2018,685,fixtures=1 events=684 players=0
2,196,league_season,N1,Netherlands_Eredivisie,0,2018,613,fixtures=1 events=612 players=0
2,197,league_season,P1,Portugal_Liga_I,0,2018,613,fixtures=1 events=612 players=0
2,198,league_season,SC0,Scotland_Premier_League,0,2018,457,fixtures=1 events=456 players=0
2,199,league_season,SC1,Scotland_Division_1,0,2018,361,fixtures=1 events=360 players=0
2,200,league_season,SC2,Scotland_Division_2,0,2018,361,fixtures=1 events=360 players=0
2,201,league_season,SC3,Scotland_Division_3,0,2018,361,fixtures=1 events=360 players=0
2,202,league_season,SP1,Spain_La_Liga,0,2018,761,fixtures=1 events=760 players=0
2,203,league_season,SP2,Spain_La_Liga_2,0,2018,925,fixtures=1 events=924 players=0
2,204,league_season,T1,Turkey_Ligi_1,0,2018,613,fixtures=1 events=612 players=0
2,205,league_season,B1,Belgium_Jupiler_League,0,2017,481,fixtures=1 events=480 players=0
